Sensor ID,Lat, Long,Timestamp,Soil Moisture (%),Soil Type,Recommended Crop(s),Recommended Crop(s)
S0001,25.0968,-170.9961,51:03.0,9.7,Sandy,Millet, Sorghum
S0002,-40.4947,-99.6441,57:03.0,14.1,Clay,Wheat, Peas
S0003,42.5648,63.6118,32:03.0,23.4,Sandy,Corn, Sunflower
S0004,70.5923,-148.702,11:03.0,11.2,Sandy,Millet, Sorghum
S0005,-14.0541,-169.273,20:03.0,30.1,Sandy,Potatoes, Carrots
S0006,-50.6452,1.9279,00:03.0,20,Sandy,Corn, Sunflower
S0007,-85.2235,-108.4184,25:03.0,16.7,Sandy,Corn, Sunflower
S0008,26.9792,16.1789,20:03.0,34.3,Loam,Rice, Sugarcane
S0009,-50.3207,32.1356,20:03.0,27.6,Clay,Rice, Sugarcane
S0010,55.6975,-177.6604,28:03.0,10.3,Loam,Wheat, Barley
S0011,55.0475,71.3302,01:03.0,9.1,Sandy,Millet, Sorghum
S0012,-28.7549,-124.0274,31:03.0,31.1,Clay,Rice, Sugarcane
S0013,82.2984,-58.826,18:03.0,9.2,Clay,Wheat, Peas
S0014,-73.3057,-145.1821,03:03.0,21.5,Clay,Corn, Soybeans
S0015,62.549,37.3414,08:03.0,8.7,Loam,Wheat, Barley
S0016,55.2831,82.7034,24:03.0,31.2,Clay,Rice, Sugarcane
S0017,6.5211,170.3217,29:03.0,29.7,Loam,Rice, Sugarcane
S0018,-21.8638,18.7346,10:03.0,13,Sandy,Millet, Sorghum
S0019,59.2928,42.6671,36:03.0,20.6,Sandy,Corn, Sunflower
S0020,65.1072,27.8468,17:03.0,21.7,Clay,Corn, Soybeans
S0021,36.8229,-163.5032,25:03.0,10.9,Sandy,Millet, Sorghum
S0022,-48.9783,-75.8203,15:03.0,13.2,Sandy,Millet, Sorghum
S0023,-75.6374,-96.1953,09:03.0,29.7,Sandy,Potatoes, Carrots
S0024,-71.8197,-79.9295,05:03.0,5.8,Sandy,Millet, Sorghum
S0025,24.4232,-48.6604,27:03.0,7.6,Loam,Wheat, Barley
S0026,-23.3674,-104.5775,05:03.0,7.2,Sandy,Millet, Sorghum
S0027,-41.944,157.1957,21:03.0,22.5,Sandy,Corn, Sunflower
S0028,26.6464,39.2872,24:03.0,31.3,Loam,Rice, Sugarcane
S0029,-59.195,82.4856,32:03.0,16.1,Sandy,Corn, Sunflower
S0030,-60.5876,-43.396,44:03.0,24.8,Sandy,Corn, Sunflower
S0031,88.1142,50.3999,19:03.0,31.5,Clay,Rice, Sugarcane
S0032,10.251,66.4611,34:03.0,8,Clay,Wheat, Peas
S0033,61.7133,99.36,49:03.0,30.4,Sandy,Potatoes, Carrots
S0034,-48.7713,-168.4439,38:03.0,26.6,Loam,Rice, Sugarcane
S0035,-33.2185,-83.6133,56:03.0,8.2,Clay,Wheat, Peas
S0036,-52.0231,159.4475,02:03.0,14.3,Loam,Wheat, Barley
S0037,67.7462,-66.716,49:03.0,19.7,Clay,Corn, Soybeans
S0038,27.979,-37.5725,04:03.0,7.3,Loam,Wheat, Barley
S0039,74.6186,-14.8133,25:03.0,31.6,Clay,Rice, Sugarcane
S0040,-42.3216,-91.2141,41:03.0,32.5,Clay,Rice, Sugarcane
S0041,11.0463,-85.413,08:03.0,13.8,Clay,Wheat, Peas
